Date,Open,High,Low,Close,Volume,Sector Symbol,Sector Long Name
9/14/21,101.8000,101.8900,100.0700,100.3000,11574218,XLI,Industrial 
9/13/21,102.0200,102.2800,100.7500,101.5200,12538338,XLI,Industrial 
9/10/21,102.1900,102.4000,101.2100,101.2500,9614771,XLI,Industrial 
9/9/21,102.0300,102.7600,101.4600,101.7100,9472077,XLI,Industrial 
9/8/21,101.8600,102.4000,101.4300,102.2000,13656625,XLI,Industrial 
9/7/21,103.5000,103.5700,101.9900,102.0600,17975001,XLI,Industrial 
9/3/21,104.2100,104.4100,103.7900,103.8600,9924224,XLI,Industrial 
9/2/21,103.8100,104.5100,103.7900,104.5000,9701175,XLI,Industrial 
1/25/22,82.8300,84.0400,81.3900,83.3300,14655685,XLB,Materials
1/24/22,82.4600,84.3100,80.9100,84.0900,21229466,XLB,Materials
1/21/22,85.6300,85.9500,83.7600,84.0400,16271249,XLB,Materials
1/20/22,87.6300,88.2800,86.0400,86.1400,8573630,XLB,Materials
1/19/22,88.2800,88.5000,87.3600,87.4100,7416432,XLB,Materials
1/18/22,87.8400,87.9900,86.9500,87.6300,7790865,XLB,Materials
1/14/22,88.5700,88.9700,87.7400,88.8000,7294381,XLB,Materials
1/13/22,90.1200,90.5900,89.3400,89.5600,6003074,XLB,Materials
1/12/22,90.1100,90.4500,89.3600,90.2600,5107848,XLB,Materials
1/11/22,88.5200,89.3900,87.7600,89.3600,6807416,XLB,Materials
1/10/22,88.8200,89.0300,87.5500,88.3900,8409570,XLB,Materials
1/7/22,89.4900,89.6400,88.9100,89.3000,8271830,XLB,Materials
1/6/22,90.7300,90.7300,89.2500,89.3800,8934382,XLB,Materials
1/5/22,91.0000,92.3100,90.4900,90.5200,10626376,XLB,Materials
1/4/22,89.6900,90.8700,89.6500,90.5300,9968869,XLB,Materials
1/3/22,90.7200,90.8300,89.2200,89.4300,7544354,XLB,Materials
12/31/21,90.0500,90.8400,90.0300,90.6100,3228878,XLB,Materials
12/30/21,90.5600,91.0800,90.1400,90.2100,3170006,XLB,Materials
12/29/21,90.0800,90.6900,90.0000,90.5300,2576989,XLB,Materials
12/28/21,89.6000,90.2500,89.5800,90.1600,4269052,XLB,Materials
12/27/21,88.5900,89.6500,88.4600,89.6400,2459779,XLB,Materials
12/23/21,87.5700,88.5900,87.4400,88.3100,2873018,XLB,Materials
12/22/21,86.6400,87.5000,86.5300,87.4300,3095125,XLB,Materials
12/21/21,86.2800,87.0800,86.2100,86.7400,4531763,XLB,Materials
12/20/21,85.9800,86.0300,84.5700,85.6600,7077762,XLB,Materials
12/17/21,88.4500,88.7100,87.6000,87.6600,7832733,XLB,Materials
12/16/21,88.4700,89.3400,88.4000,88.7700,6535634,XLB,Materials
12/15/21,87.3100,87.9700,86.3600,87.8700,7311540,XLB,Materials
12/14/21,87.7000,88.4200,87.4400,87.6800,4536787,XLB,Materials
12/13/21,88.2500,88.4500,87.4800,87.7700,4703340,XLB,Materials
12/10/21,88.4300,88.6400,87.7200,88.3000,4792550,XLB,Materials
12/9/21,87.5900,88.1800,87.4000,87.7600,3300773,XLB,Materials
12/8/21,88.1800,88.4400,87.7400,88.2500,4608310,XLB,Materials
12/7/21,87.5600,88.4300,87.5500,87.8800,5653471,XLB,Materials
12/6/21,86.1700,87.2400,85.8600,86.5600,8122986,XLB,Materials
12/3/21,85.6400,86.5600,84.5500,85.3100,9988682,XLB,Materials
12/2/21,84.0700,85.8500,83.9100,85.5000,8978673,XLB,Materials
12/1/21,85.9900,86.7300,83.7500,83.7900,11242869,XLB,Materials
11/30/21,86.3600,86.5800,84.4900,84.6500,12002301,XLB,Materials
11/29/21,87.0600,87.2500,86.2300,86.8000,6140199,XLB,Materials
11/26/21,85.9100,86.8100,85.4700,86.4000,7107505,XLB,Materials
11/24/21,88.0700,88.2700,87.7200,87.9100,5182620,XLB,Materials
11/23/21,88.4800,89.1700,88.0900,88.5400,7616338,XLB,Materials
11/22/21,88.3500,89.3900,88.3100,88.4500,6690035,XLB,Materials
